,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,username,email,name,gender,age
25,GRZ,2025-01-20,2025-07-08,169,Monday,697763,USD,29697,500001,117237,0.05939388121223758,3.947772502272957,0.2344735310529379,25-30,F,jonathan99,craig80@example.com,Jennifer Barnes,F,39
26,GRZ,2026-05-22,2026-07-26,65,Friday,847628,GBP,27336,500005,400790,0.054671453285467145,14.661618378694762,0.8015719842801572,40-45,B,jonathanlogan,kristin21@example.org,Kevin Nichols,M,64
27,BYU,2026-05-22,2027-07-26,430,Friday,333105,GBP,29968,499999,325954,0.05993611987223974,10.876735184196477,0.6519093038186077,30-50,M,jonathanlogan,kristin21@example.org,Kevin Nichols,M,64
28,KTR,2026-03-17,2028-01-05,659,Tuesday,442386,GBP,23221,500000,329977,0.046442,14.210283794840876,0.659954,45-55,F,jonathanlogan,kristin21@example.org,Kevin Nichols,M,64
29,BYU,2024-09-16,2025-11-15,425,Monday,660134,GBP,10859,500001,306152,0.02171795656408687,28.193387973109864,0.6123027753944492,45-65,M,jonathanlogan,kristin21@example.org,Kevin Nichols,M,64
30,KTR,2026-04-12,2027-01-05,268,Sunday,865347,EUR,19748,500002,306566,0.039495842016631935,15.523901154547296,0.61312954748181,35-40,B,jonathanlogan,kristin21@example.org,Kevin Nichols,M,64
31,BYU,2025-09-12,2026-05-04,234,Friday,591901,EUR,34213,500001,349716,0.0684258631482737,10.22172858270248,0.6994306011387977,35-45,M,jonathanlogan,kristin21@example.org,Kevin Nichols,M,64
32,BYU,2025-03-01,2025-04-24,54,Saturday,880624,USD,45026,499997,366659,0.09005254031524189,8.143272775729578,0.7333223999343996,35-40,F,jonathanlogan,kristin21@example.org,Kevin Nichols,M,64
33,KTR,2024-09-04,2026-07-11,675,Wednesday,928749,GBP,17854,499996,845346,0.03570828566628533,47.34770919681864,1.6907055256442052,35-55,F,jonathanlogan,kristin21@example.org,Kevin Nichols,M,64
34,GRZ,2026-03-12,2027-07-14,489,Thursday,172741,EUR,54160,499999,22752,0.10832021664043329,0.42008862629246674,0.045504091008182014,25-45,B,patricksandoval,james80@example.org,Brian Harper,M,85
35,KTR,2025-07-27,2025-09-10,45,Sunday,21849,USD,19549,499998,8465,0.03909815639262557,0.43301447644380786,0.01693006772027088,45-50,F,patricksandoval,james80@example.org,Brian Harper,M,85
36,BYU,2025-05-28,2026-02-26,274,Wednesday,608280,USD,27193,500001,157166,0.05438589122821754,5.7796491744198875,0.3143313713372573,35-55,B,patricksandoval,james80@example.org,Brian Harper,M,85
37,BYU,2025-12-07,2026-10-17,314,Sunday,638382,EUR,48535,499997,379021,0.09707058242349455,7.809230452250953,0.7580465482792896,20-35,F,patricksandoval,james80@example.org,Brian Harper,M,85
38,AKX,2025-03-10,2026-12-18,648,Monday,764772,USD,37786,499997,598320,0.0755724534347206,15.834436034510135,1.1966471798830793,45-50,B,patricksandoval,james80@example.org,Brian Harper,M,85
39,KTR,2025-10-09,2027-06-17,616,Thursday,101265,USD,70410,500001,71644,0.14081971836056328,1.0175259196136912,0.14328771342457314,25-50,B,alejandraallen,jarvisdale@example.org,John Stevens,M,65
40,AKX,2026-05-27,2027-04-27,335,Wednesday,705307,USD,50387,500000,250241,0.100774,4.966380217119495,0.500482,40-65,F,alejandraallen,jarvisdale@example.org,John Stevens,M,65
41,BYU,2025-06-11,2027-04-14,672,Wednesday,268863,GBP,28186,499999,91728,0.05637211274422549,3.254381607890442,0.18345636691273381,35-50,M,alejandraallen,jarvisdale@example.org,John Stevens,M,65
42,AKX,2026-02-21,2027-05-09,442,Saturday,792367,EUR,48903,499999,217424,0.09780619561239122,4.44602580618776,0.4348488696977394,45-70,F,alejandraallen,jarvisdale@example.org,John Stevens,M,65
43,BYU,2024-10-06,2024-11-01,26,Sunday,257552,USD,30182,499997,84645,0.060364362186173116,2.8044861175535085,0.16929101574609448,25-50,M,alejandraallen,jarvisdale@example.org,John Stevens,M,65
44,KTR,2026-05-10,2027-08-18,465,Sunday,28750,GBP,28149,499997,19444,0.05629833779002674,0.6907527798500834,0.038888233329399974,20-45,B,alejandraallen,jarvisdale@example.org,John Stevens,M,65
45,AKX,2025-07-28,2026-04-15,261,Monday,963540,USD,59483,500000,488170,0.118966,8.206882638737119,0.97634,30-40,M,alejandraallen,jarvisdale@example.org,John Stevens,M,65
46,AKX,2024-12-13,2026-08-26,621,Friday,244855,GBP,15236,499999,204941,0.030472060944121887,13.451102651614598,0.4098828197656395,30-40,B,alejandraallen,jarvisdale@example.org,John Stevens,M,65
47,KTR,2026-01-27,2028-01-20,723,Tuesday,613132,GBP,24078,500002,562342,0.04815580737677049,23.35501287482349,1.1246795012819948,40-65,M,vrush,cheyenne97@example.com,Amy Randall,F,56
48,BYU,2026-02-28,2026-06-27,119,Saturday,879898,GBP,18660,499998,858226,0.037320149280597126,45.992818863879954,1.7164588658354634,25-40,B,vrush,cheyenne97@example.com,Amy Randall,F,56
49,BYU,2024-10-15,2025-03-30,166,Tuesday,420933,EUR,88150,500000,217655,0.1763,2.4691435053885424,0.43531,20-30,F,thomas90,davidsonjohn@example.com,Dana Turner,F,63
50,AKX,2025-01-24,2025-06-05,132,Friday,938633,USD,78023,499999,159963,0.15604631209262418,2.0502031452264076,0.3199266398532797,45-55,B,thomas90,davidsonjohn@example.com,Dana Turner,F,63
51,KTR,2025-12-06,2027-03-21,470,Saturday,88887,EUR,54226,500000,77477,0.108452,1.4287795522443107,0.154954,30-40,M,thomas90,davidsonjohn@example.com,Dana Turner,F,63
52,AKX,2026-05-15,2026-05-21,6,Friday,8175,USD,25991,500001,3449,0.051981896036207925,0.13269978069331692,0.006897986204027592,35-60,M,thomas90,davidsonjohn@example.com,Dana Turner,F,63
53,AKX,2025-09-12,2026-12-24,468,Friday,491030,USD,37363,499997,395652,0.07472644835869015,10.589406632229746,0.7913087478524871,40-55,B,thomas90,davidsonjohn@example.com,Dana Turner,F,63
54,GRZ,2025-07-12,2027-04-02,629,Saturday,496854,USD,36883,500001,81380,0.07376585246829506,2.2064365696933548,0.16275967448065104,30-55,B,turnerzachary,johncarpenter@example.net,Bonnie Christensen,F,82
55,BYU,2024-07-05,2026-03-20,623,Friday,997372,GBP,30599,500000,695896,0.061198,22.742442563482467,1.391792,35-60,M,turnerzachary,johncarpenter@example.net,Bonnie Christensen,F,82
56,GRZ,2024-12-28,2026-11-06,678,Saturday,806563,EUR,16730,500000,312082,0.03346,18.65403466826061,0.624164,30-50,F,turnerzachary,johncarpenter@example.net,Bonnie Christensen,F,82
57,AKX,2026-01-28,2027-08-19,568,Wednesday,82880,EUR,46846,500001,72282,0.09369181261637477,1.5429705844682577,0.14456371087257824,25-35,B,turnerzachary,johncarpenter@example.net,Bonnie Christensen,F,82
58,AKX,2024-10-13,2025-12-06,419,Sunday,401406,USD,19803,499998,260482,0.0396061584246337,13.153663586325305,0.5209660838643354,20-30,F,turnerzachary,johncarpenter@example.net,Bonnie Christensen,F,82
59,GRZ,2024-07-18,2026-03-02,592,Thursday,297178,EUR,13450,500001,32605,0.026899946200107598,2.4241635687732344,0.06520986958026084,45-70,M,turnerzachary,johncarpenter@example.net,Bonnie Christensen,F,82
60,GRZ,2025-12-01,2026-06-16,197,Monday,637977,USD,24225,499994,539473,0.04845058140697688,22.269267285861712,1.07895894750737,45-55,B,turnerzachary,johncarpenter@example.net,Bonnie Christensen,F,82
61,KTR,2025-11-02,2026-04-04,153,Sunday,401015,EUR,66134,500000,374115,0.132268,5.656923821332446,0.74823,35-55,F,turnerzachary,johncarpenter@example.net,Bonnie Christensen,F,82
62,KTR,2025-02-22,2025-04-30,67,Saturday,393174,GBP,31238,499999,337913,0.062476124952249905,10.817369870030092,0.6758273516547033,45-70,F,andersonelizabeth,jennifer33@example.com,Tyler Pena,M,52
63,AKX,2025-02-15,2026-12-16,669,Saturday,232950,EUR,47378,500002,123233,0.0947556209775161,2.60105956351049,0.24646501413994343,30-35,F,andersonelizabeth,jennifer33@example.com,Tyler Pena,M,52
64,AKX,2025-01-14,2025-01-31,17,Tuesday,535806,GBP,27522,499997,300711,0.05504433026598159,10.926204490952692,0.6014256085536513,35-45,M,jmoore,olivia91@example.com,Stephanie Buchanan,F,86
65,KTR,2025-06-13,2026-11-09,514,Friday,958937,EUR,1662,499998,292660,0.0033240132960531844,176.08904933814682,0.5853223412893651,25-40,B,jmoore,olivia91@example.com,Stephanie Buchanan,F,86
66,AKX,2024-09-28,2026-01-07,466,Saturday,178675,USD,83323,500000,107027,0.166646,1.2844832759262148,0.214054,20-45,M,michael84,nicholaskennedy@example.org,Hannah Vargas,F,36
67,BYU,2025-01-17,2026-03-27,434,Friday,482339,USD,19603,499998,432975,0.039206156824627296,22.0871805335918,0.8659534638138553,40-65,B,michael84,nicholaskennedy@example.org,Hannah Vargas,F,36
68,BYU,2024-08-30,2025-07-27,331,Friday,494707,GBP,57431,499997,241330,0.11486268917613505,4.202085981438596,0.4826628959773759,20-45,F,michael84,nicholaskennedy@example.org,Hannah Vargas,F,36
69,GRZ,2025-06-18,2025-10-03,107,Wednesday,386878,GBP,37882,499998,307175,0.07576430305721223,8.108732379494219,0.6143524574098297,40-60,B,michael84,nicholaskennedy@example.org,Hannah Vargas,F,36
70,AKX,2025-12-16,2026-06-02,168,Tuesday,19778,EUR,42689,499999,9488,0.0853781707563415,0.2222586614818806,0.018976037952075905,35-55,M,michael84,nicholaskennedy@example.org,Hannah Vargas,F,36
71,KTR,2025-02-16,2025-07-14,148,Sunday,185921,GBP,5572,499999,60900,0.011144022288044576,10.92964824120603,0.1218002436004872,35-60,M,brewerjill,lydia50@example.net,Jonathon Jackson,M,85
72,GRZ,2025-11-09,2025-11-28,19,Sunday,848837,EUR,42208,500001,830530,0.08441583116833766,19.677075435936317,1.6610566778866442,45-65,B,brewerjill,lydia50@example.net,Jonathon Jackson,M,85
73,BYU,2026-04-01,2026-11-28,241,Wednesday,836860,GBP,10441,499999,642729,0.02088204176408353,61.558184081984486,1.2854605709211417,40-60,M,brewerjill,lydia50@example.net,Jonathon Jackson,M,85
74,AKX,2025-09-23,2027-05-24,608,Tuesday,871900,EUR,64027,499998,610179,0.12805451221804887,9.530026395114561,1.2203628814515257,45-65,B,brewerjill,lydia50@example.net,Jonathon Jackson,M,85
75,BYU,2025-05-12,2026-01-24,257,Monday,338792,EUR,26334,499999,325258,0.05266810533621067,12.351256930204299,0.650517301034602,20-45,F,brewerjill,lydia50@example.net,Jonathon Jackson,M,85
76,KTR,2024-11-02,2025-08-28,299,Saturday,137321,EUR,25944,499998,82113,0.05188820755283021,3.165009250693802,0.16422665690662763,20-25,F,brewerjill,lydia50@example.net,Jonathon Jackson,M,85
77,KTR,2025-04-08,2026-11-08,579,Tuesday,772716,USD,17683,500002,732432,0.035365858536565854,41.42012102018888,1.4648581405674377,40-50,F,brewerjill,lydia50@example.net,Jonathon Jackson,M,85
78,AKX,2024-10-09,2026-05-30,598,Wednesday,717920,USD,19804,499995,670074,0.03960839608396084,33.83528580084831,1.3401614016140162,30-35,M,brewerjill,lydia50@example.net,Jonathon Jackson,M,85
79,BYU,2024-10-17,2026-07-22,643,Thursday,102641,USD,66272,500001,95577,0.1325437349125302,1.4421927812650894,0.19115361769276462,45-50,M,stephenfrazier,jonathanhernandez@example.com,Katherine Nguyen,F,54
80,BYU,2025-04-29,2026-07-31,458,Tuesday,757892,USD,35225,500000,36787,0.07045,1.0443435060326474,0.073574,35-55,M,stephenfrazier,jonathanhernandez@example.com,Katherine Nguyen,F,54
81,GRZ,2024-08-06,2026-05-14,646,Tuesday,374507,EUR,24686,499997,176323,0.0493722962337774,7.142631451024872,0.3526481158886953,20-45,B,stephenfrazier,jonathanhernandez@example.com,Katherine Nguyen,F,54
82,BYU,2026-05-24,2026-07-21,58,Sunday,870620,GBP,64344,500003,769658,0.12868722787663275,11.961612582369762,1.5393067641594151,40-55,B,stephenfrazier,jonathanhernandez@example.com,Katherine Nguyen,F,54
83,GRZ,2024-08-26,2025-08-07,346,Monday,582473,USD,65886,499999,127490,0.1317722635445271,1.9350089548614273,0.2549805099610199,35-45,B,stephenfrazier,jonathanhernandez@example.com,Katherine Nguyen,F,54
84,GRZ,2026-05-11,2027-09-21,498,Monday,310274,GBP,21268,499999,107573,0.042536085072170146,5.057974421666353,0.2151464302928606,20-30,F,stephenfrazier,jonathanhernandez@example.com,Katherine Nguyen,F,54
85,GRZ,2025-07-28,2026-04-20,266,Monday,183553,EUR,16455,500002,31619,0.032909868360526555,1.9215436037678517,0.0632377470490118,25-45,F,stephenfrazier,jonathanhernandez@example.com,Katherine Nguyen,F,54
86,BYU,2024-08-12,2026-07-08,695,Monday,425332,EUR,42847,500001,20592,0.08569382861234277,0.4805937405185894,0.04118391763216474,40-65,B,stephenfrazier,jonathanhernandez@example.com,Katherine Nguyen,F,54
87,BYU,2026-06-15,2027-08-07,418,Monday,812644,GBP,41895,499999,116182,0.08379016758033517,2.7731710227950828,0.23236446472892947,25-45,B,stewartsydney,geraldjohnson@example.net,Amanda Byrd,F,19
88,AKX,2025-08-13,2026-09-13,396,Wednesday,142603,EUR,59890,500002,126933,0.11977952088191647,2.119435631991985,0.25386498454006184,20-40,M,stewartsydney,geraldjohnson@example.net,Amanda Byrd,F,19
89,BYU,2024-10-26,2025-08-30,308,Saturday,593531,GBP,71716,499999,396865,0.14343228686457374,5.533841820514251,0.793731587463175,30-35,B,stewartsydney,geraldjohnson@example.net,Amanda Byrd,F,19
90,BYU,2026-01-28,2027-07-08,526,Wednesday,215920,GBP,48254,500000,62518,0.096508,1.2956024371036599,0.125036,40-60,M,stewartsydney,geraldjohnson@example.net,Amanda Byrd,F,19
91,KTR,2024-12-10,2025-07-30,232,Tuesday,889842,GBP,75488,499996,565180,0.15097720781766255,7.487017804154303,1.1303690429523436,40-45,B,brownmiranda,brownzachary@example.com,Dawn Ford,F,47
92,BYU,2026-03-22,2028-03-03,712,Sunday,507076,USD,10883,500000,164791,0.021766,15.142056418267021,0.329582,35-60,F,brownmiranda,brownzachary@example.com,Dawn Ford,F,47
93,BYU,2025-05-16,2026-12-25,588,Friday,991764,USD,27436,499999,910942,0.05487210974421949,33.20243475725324,1.8218876437752876,35-55,F,brownmiranda,brownzachary@example.com,Dawn Ford,F,47
94,AKX,2025-06-21,2027-05-26,704,Saturday,95321,EUR,57302,499999,68238,0.11460422920845842,1.1908484869638059,0.1364762729525459,40-65,B,brownmiranda,brownzachary@example.com,Dawn Ford,F,47
95,KTR,2026-06-09,2027-05-18,343,Tuesday,619585,USD,18764,499998,487028,0.03752815011260045,25.955446599872097,0.974059896239585,30-50,M,brownmiranda,brownzachary@example.com,Dawn Ford,F,47
96,KTR,2026-02-26,2027-05-09,437,Thursday,843952,GBP,50626,500001,382075,0.101251797496405,7.547011417058428,0.7641484717030566,25-30,M,brownmiranda,brownzachary@example.com,Dawn Ford,F,47
97,AKX,2025-03-28,2025-08-13,138,Friday,658841,EUR,56079,499998,585497,0.11215844863379454,10.44057490326147,1.170998683994736,30-45,F,brownmiranda,brownzachary@example.com,Dawn Ford,F,47
98,AKX,2026-02-03,2026-06-28,145,Tuesday,207784,EUR,60124,499995,150919,0.12024920249202492,2.5101290665957023,0.3018410184101841,20-25,B,brownmiranda,brownzachary@example.com,Dawn Ford,F,47
99,GRZ,2025-05-24,2025-06-16,23,Saturday,502910,USD,4731,500000,109294,0.009462,23.101669837243712,0.218588,30-45,B,juan60,whitney14@example.com,Marc Graves,M,25
100,GRZ,2025-04-08,2025-10-08,183,Tuesday,39130,USD,41020,500002,28528,0.08203967184131264,0.695465626523647,0.05705577177691289,40-65,B,juan60,whitney14@example.com,Marc Graves,M,25
101,AKX,2025-09-16,2026-06-29,286,Tuesday,278447,GBP,47476,500002,15003,0.09495162019351923,0.31601230095206,0.030005879976480094,30-45,M,robertparks,zsullivan@example.org,Alan Shelton,M,74
102,AKX,2025-06-04,2027-04-06,671,Wednesday,201585,EUR,40603,500000,27752,0.081206,0.6834962933773366,0.055504,45-50,F,robertparks,zsullivan@example.org,Alan Shelton,M,74
103,AKX,2025-01-08,2026-02-26,414,Wednesday,6830,USD,40870,499999,3130,0.08174016348032696,0.07658429165647174,0.00626001252002504,30-45,F,robertparks,zsullivan@example.org,Alan Shelton,M,74
104,AKX,2026-04-16,2026-05-18,32,Thursday,245799,EUR,21018,500000,151128,0.042036,7.190408221524407,0.302256,40-65,B,robertparks,zsullivan@example.org,Alan Shelton,M,74
105,GRZ,2025-05-02,2025-07-09,68,Friday,841143,GBP,51138,500001,806100,0.1022757954484091,15.763228910008213,1.6121967756064488,25-30,F,robertparks,zsullivan@example.org,Alan Shelton,M,74
106,BYU,2025-07-16,2026-08-31,411,Wednesday,799489,EUR,14904,500003,114341,0.02980782115307308,7.671833064949007,0.2286806279162325,40-50,M,ylynch,joshua42@example.com,Katie Cruz,F,40
107,BYU,2025-12-18,2026-12-01,348,Thursday,705054,EUR,20785,500000,363818,0.04157,17.503872985325955,0.727636,30-45,F,ylynch,joshua42@example.com,Katie Cruz,F,40
108,GRZ,2026-01-23,2027-07-08,531,Friday,886197,GBP,44445,499998,120017,0.08889035556142225,2.7003487456406794,0.24003496013984055,40-50,F,ylynch,joshua42@example.com,Katie Cruz,F,40
109,BYU,2026-05-07,2028-04-12,706,Thursday,963739,USD,58440,500002,830092,0.11687953248187007,14.204175222450376,1.6601773592905629,25-50,F,ylynch,joshua42@example.com,Katie Cruz,F,40
110,KTR,2024-09-10,2024-11-25,76,Tuesday,631997,EUR,13687,500001,63111,0.027373945252109497,4.611017754073208,0.1262217475565049,25-40,B,ylynch,joshua42@example.com,Katie Cruz,F,40
111,GRZ,2024-07-19,2025-01-16,181,Friday,891951,EUR,46799,499997,330513,0.09359856159136955,7.06239449560888,0.661029966179797,30-50,B,ylynch,joshua42@example.com,Katie Cruz,F,40
112,GRZ,2025-01-08,2025-08-27,231,Wednesday,266145,USD,22903,499999,142865,0.04580609161218322,6.237829105357377,0.28573057146114295,30-45,M,ylynch,joshua42@example.com,Katie Cruz,F,40
113,GRZ,2025-01-13,2026-08-19,583,Monday,749937,EUR,45814,499999,560812,0.09162818325636651,12.241061684201336,1.1216262432524866,30-45,M,wlin,gregorymurray@example.org,Ashley Clark,F,81
114,BYU,2024-12-15,2025-12-05,355,Sunday,601755,USD,64435,500004,196806,0.1288689690482476,3.0543338247846665,0.393608851129191,40-50,F,wlin,gregorymurray@example.org,Ashley Clark,F,81
115,BYU,2025-02-28,2025-12-26,301,Friday,280195,USD,6038,500001,213905,0.012075975848048304,35.42646571712488,0.42780914438171125,20-30,B,wlin,gregorymurray@example.org,Ashley Clark,F,81
116,AKX,2025-12-09,2027-02-04,422,Tuesday,883486,USD,54844,499997,388317,0.1096886581319488,7.0803916563343305,0.776638659831959,20-45,F,wlin,gregorymurray@example.org,Ashley Clark,F,81
117,GRZ,2025-12-08,2026-12-30,387,Monday,339729,EUR,12099,500000,323898,0.024198,26.770642201834864,0.647796,30-45,B,wlin,gregorymurray@example.org,Ashley Clark,F,81
118,AKX,2024-11-05,2025-04-15,161,Tuesday,422671,EUR,34120,499998,127564,0.06824027296109185,3.7386869871043378,0.25512902051608205,25-35,B,wlin,gregorymurray@example.org,Ashley Clark,F,81
119,BYU,2025-02-11,2025-12-31,323,Tuesday,155849,GBP,9641,500001,115491,0.01928196143607713,11.97915154029665,0.23098153803692392,20-25,M,wlin,gregorymurray@example.org,Ashley Clark,F,81
120,KTR,2026-02-08,2026-10-11,245,Sunday,977581,GBP,52290,500000,45056,0.10458,0.8616561484031363,0.090112,40-55,F,wlin,gregorymurray@example.org,Ashley Clark,F,81
121,BYU,2024-09-21,2026-08-02,680,Saturday,917161,USD,28143,500000,632657,0.056286,22.48008385744235,1.265314,30-55,B,mariaparker,derek30@example.net,Norman Molina,M,48
122,GRZ,2025-09-11,2026-09-02,356,Thursday,182042,EUR,14262,499999,113428,0.028524057048114095,7.953162249333895,0.2268564537129074,30-40,B,mariaparker,derek30@example.net,Norman Molina,M,48
123,KTR,2025-05-04,2026-07-09,431,Sunday,312169,EUR,13470,500000,205845,0.02694,15.28173719376392,0.41169,25-40,M,mariaparker,derek30@example.net,Norman Molina,M,48
124,KTR,2024-12-17,2026-03-18,456,Tuesday,459611,EUR,13380,499999,425107,0.02676005352010704,31.77182361733931,0.8502157004314008,25-50,B,mariaparker,derek30@example.net,Norman Molina,M,48
125,GRZ,2024-09-14,2025-10-18,399,Saturday,654256,GBP,46446,499999,194054,0.09289218578437157,4.178056237350902,0.3881087762175524,40-50,B,mariaparker,derek30@example.net,Norman Molina,M,48
126,AKX,2025-10-07,2026-03-10,154,Tuesday,383348,GBP,20139,500000,147144,0.040278,7.306420378370326,0.294288,30-45,M,mariaparker,derek30@example.net,Norman Molina,M,48
127,AKX,2026-01-19,2027-10-08,627,Monday,554666,USD,19416,499997,131855,0.03883223299339796,6.791048619695097,0.2637115822694936,35-45,B,larry28,sjohnson@example.com,Janet Strong,F,88
128,BYU,2024-11-06,2025-01-01,56,Wednesday,838948,EUR,21693,500002,58679,0.04338582645669417,2.7049739547319414,0.11735753056987772,35-60,M,larry28,sjohnson@example.com,Janet Strong,F,88
129,GRZ,2025-11-19,2025-12-26,37,Wednesday,866513,GBP,13372,499999,4370,0.026744053488106975,0.32680227340711937,0.00874001748003496,40-50,B,larry28,sjohnson@example.com,Janet Strong,F,88
130,GRZ,2026-04-23,2026-07-08,76,Thursday,48578,EUR,30993,500003,27437,0.06198562808623148,0.8852644145452199,0.05487367075797545,25-50,M,larry28,sjohnson@example.com,Janet Strong,F,88
131,GRZ,2026-02-28,2026-03-06,6,Saturday,326535,EUR,2806,500001,31312,0.005611988776022448,11.158945117605132,0.0626238747522505,35-60,F,larry28,sjohnson@example.com,Janet Strong,F,88
132,KTR,2024-07-26,2026-05-02,645,Friday,367693,USD,33479,500000,132033,0.066958,3.9437557872098927,0.264066,35-55,F,larry28,sjohnson@example.com,Janet Strong,F,88
133,BYU,2024-10-25,2025-12-06,407,Friday,641923,USD,50744,500000,220290,0.101488,4.341202900835567,0.44058,30-50,F,larry28,sjohnson@example.com,Janet Strong,F,88
134,BYU,2025-12-14,2027-05-24,526,Sunday,430989,USD,16294,500000,410785,0.032588,25.210813796489504,0.82157,20-30,B,hamptonkathryn,melissablack@example.net,Lori Munoz,F,45
135,AKX,2025-06-15,2025-12-28,196,Sunday,482924,GBP,18877,500004,338196,0.037753697970416236,17.915770514382583,0.6763865889072888,45-70,F,hamptonkathryn,melissablack@example.net,Lori Munoz,F,45
